Frame,Time
0,2021-02-24_14:01:59.946660
1,2021-02-24_14:02:00.180041
2,2021-02-24_14:02:00.234273
3,2021-02-24_14:02:00.316404
4,2021-02-24_14:02:00.363790
5,2021-02-24_14:02:00.427203
6,2021-02-24_14:02:00.516666
7,2021-02-24_14:02:00.561748
8,2021-02-24_14:02:00.638233
9,2021-02-24_14:02:00.700774
10,2021-02-24_14:02:00.762308
11,2021-02-24_14:02:00.800512
12,2021-02-24_14:02:00.839629
13,2021-02-24_14:02:00.894261
14,2021-02-24_14:02:00.932071
15,2021-02-24_14:02:00.975276
16,2021-02-24_14:02:01.045998
17,2021-02-24_14:02:01.081404
18,2021-02-24_14:02:01.123889
19,2021-02-24_14:02:01.180504
20,2021-02-24_14:02:01.222121
21,2021-02-24_14:02:01.263720
22,2021-02-24_14:02:01.325424
23,2021-02-24_14:02:01.365962
24,2021-02-24_14:02:01.406182
25,2021-02-24_14:02:01.482326
26,2021-02-24_14:02:01.522375
27,2021-02-24_14:02:01.585784
28,2021-02-24_14:02:01.629080
29,2021-02-24_14:02:01.688364
30,2021-02-24_14:02:01.762682
31,2021-02-24_14:02:01.798193
32,2021-02-24_14:02:01.897646
33,2021-02-24_14:02:01.934705
34,2021-02-24_14:02:02.008725
35,2021-02-24_14:02:02.088539
36,2021-02-24_14:02:02.164484
37,2021-02-24_14:02:02.205679
38,2021-02-24_14:02:02.279706
39,2021-02-24_14:02:02.339282
40,2021-02-24_14:02:02.382500
41,2021-02-24_14:02:02.442660
42,2021-02-24_14:02:02.484870
43,2021-02-24_14:02:02.526477
44,2021-02-24_14:02:02.578361
45,2021-02-24_14:02:02.622925
46,2021-02-24_14:02:02.668050
47,2021-02-24_14:02:02.729898
48,2021-02-24_14:02:02.774015
49,2021-02-24_14:02:02.840170
50,2021-02-24_14:02:02.889580
51,2021-02-24_14:02:02.931800
52,2021-02-24_14:02:02.998970
53,2021-02-24_14:02:03.050584
54,2021-02-24_14:02:03.115205
55,2021-02-24_14:02:03.173631
56,2021-02-24_14:02:03.230553
57,2021-02-24_14:02:03.276132
58,2021-02-24_14:02:03.344695
59,2021-02-24_14:02:03.392431
60,2021-02-24_14:02:03.454033
61,2021-02-24_14:02:03.497566
62,2021-02-24_14:02:03.544870
63,2021-02-24_14:02:03.596508
64,2021-02-24_14:02:03.663087
65,2021-02-24_14:02:03.739549
66,2021-02-24_14:02:03.782390
67,2021-02-24_14:02:03.841941
68,2021-02-24_14:02:03.901163
69,2021-02-24_14:02:03.948023
70,2021-02-24_14:02:04.019501
71,2021-02-24_14:02:04.072890
72,2021-02-24_14:02:04.130046
73,2021-02-24_14:02:04.175349
74,2021-02-24_14:02:04.236948
75,2021-02-24_14:02:04.283297
76,2021-02-24_14:02:04.324352
77,2021-02-24_14:02:04.362647
78,2021-02-24_14:02:04.424783
79,2021-02-24_14:02:04.471748
80,2021-02-24_14:02:04.517637
81,2021-02-24_14:02:04.578094
82,2021-02-24_14:02:04.622056
83,2021-02-24_14:02:04.676563
84,2021-02-24_14:02:04.724013
85,2021-02-24_14:02:04.769102
86,2021-02-24_14:02:04.825594
87,2021-02-24_14:02:04.864827
88,2021-02-24_14:02:04.904603
89,2021-02-24_14:02:04.972164
90,2021-02-24_14:02:05.013758
91,2021-02-24_14:02:05.055142
92,2021-02-24_14:02:05.109110
93,2021-02-24_14:02:05.158188
94,2021-02-24_14:02:05.203725
95,2021-02-24_14:02:05.260695
96,2021-02-24_14:02:05.299958
97,2021-02-24_14:02:05.346935
98,2021-02-24_14:02:05.393365
99,2021-02-24_14:02:05.431320
100,2021-02-24_14:02:05.473518
101,2021-02-24_14:02:05.516675
102,2021-02-24_14:02:05.563473
103,2021-02-24_14:02:05.601413
104,2021-02-24_14:02:05.649207
105,2021-02-24_14:02:05.690377
106,2021-02-24_14:02:05.735352
107,2021-02-24_14:02:05.772119
108,2021-02-24_14:02:05.830689
109,2021-02-24_14:02:05.871704
110,2021-02-24_14:02:05.924286
111,2021-02-24_14:02:05.977400
112,2021-02-24_14:02:06.020713
113,2021-02-24_14:02:06.078523
114,2021-02-24_14:02:06.137246
115,2021-02-24_14:02:06.176118
116,2021-02-24_14:02:06.223894
117,2021-02-24_14:02:06.276476
118,2021-02-24_14:02:06.320170
119,2021-02-24_14:02:06.370527
120,2021-02-24_14:02:06.414871
121,2021-02-24_14:02:06.462219
122,2021-02-24_14:02:06.498474
123,2021-02-24_14:02:06.561553
124,2021-02-24_14:02:06.626256
125,2021-02-24_14:02:06.672884
126,2021-02-24_14:02:06.742115
127,2021-02-24_14:02:06.789380
128,2021-02-24_14:02:06.844783
129,2021-02-24_14:02:06.895429
130,2021-02-24_14:02:06.935072
131,2021-02-24_14:02:06.992248
132,2021-02-24_14:02:07.039348
133,2021-02-24_14:02:07.094299
134,2021-02-24_14:02:07.164869
135,2021-02-24_14:02:07.214429
136,2021-02-24_14:02:07.273344
137,2021-02-24_14:02:07.319375
138,2021-02-24_14:02:07.373241
139,2021-02-24_14:02:07.420832
140,2021-02-24_14:02:07.480067
141,2021-02-24_14:02:07.549752
142,2021-02-24_14:02:07.595371
143,2021-02-24_14:02:07.646007
144,2021-02-24_14:02:07.694834
145,2021-02-24_14:02:07.734901
146,2021-02-24_14:02:07.781771
147,2021-02-24_14:02:07.829615
148,2021-02-24_14:02:07.868733
149,2021-02-24_14:02:07.915180
150,2021-02-24_14:02:07.964045
151,2021-02-24_14:02:08.002903
152,2021-02-24_14:02:08.049960
153,2021-02-24_14:02:08.098078
154,2021-02-24_14:02:08.136702
155,2021-02-24_14:02:08.183634
156,2021-02-24_14:02:08.229930
157,2021-02-24_14:02:08.275273
158,2021-02-24_14:02:08.332167
159,2021-02-24_14:02:08.379115
160,2021-02-24_14:02:08.440343
161,2021-02-24_14:02:08.485504
162,2021-02-24_14:02:08.549673
163,2021-02-24_14:02:08.595672
164,2021-02-24_14:02:08.641841
165,2021-02-24_14:02:08.693173
166,2021-02-24_14:02:08.731992
167,2021-02-24_14:02:08.778855
168,2021-02-24_14:02:08.827123
169,2021-02-24_14:02:08.867334
170,2021-02-24_14:02:08.915729
171,2021-02-24_14:02:08.963399
172,2021-02-24_14:02:09.002581
173,2021-02-24_14:02:09.060750
174,2021-02-24_14:02:09.108317
175,2021-02-24_14:02:09.162952
176,2021-02-24_14:02:09.203976
177,2021-02-24_14:02:09.262655
178,2021-02-24_14:02:09.304001
179,2021-02-24_14:02:09.368035
180,2021-02-24_14:02:09.415419
181,2021-02-24_14:02:09.458224
